                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                  1.415,                0.95197,                 1.6057,                0.94278,                    0.9,                0.90125,                0.51188,                 1.5619,                0.88955,                 1.8437,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3178,                0.99954,                 1.5162,                0.91805,                    0.9,                0.94681,                0.50617,                 1.6416,                0.98341,                 1.8967,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.3248,                 1.0362,                 1.5621,                0.89529,                      1,                0.97833,                0.54443,                 1.4951,                0.77274,                 1.7308,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.4551,                 1.0876,                 1.6048,                 0.9422,                      1,                  0.995,                0.59783,                 1.3401,                0.63581,                 1.6409,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.2135,                 1.0014,                 1.4929,                0.95233,                      1,                  0.995,                 0.5628,                 1.5004,                0.70148,                 1.7702,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2899,                 1.0247,                 1.5154,                0.94934,                    0.9,                0.93556,                0.58415,                  1.307,                0.76964,                 1.6494,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.3028,                 1.0497,                 1.5211,                0.95457,                0.89705,                0.94681,                 0.5891,                 1.4091,                0.77926,                  1.746,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3361,                 1.0464,                 1.5251,                0.93188,                    0.9,                0.91946,                0.59144,                 1.3396,                0.83021,                 1.7028,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.3128,                0.95451,                 1.5075,                0.87349,                    0.8,                0.89561,                0.58946,                 1.3324,                0.91372,                 1.7022,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.3366,                0.96236,                 1.5466,                0.90111,                    0.9,                 0.9225,                0.55975,                 1.4028,                0.85746,                  1.763,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.3466,                 1.0212,                 1.6019,                0.92144,                    0.9,                   0.95,                0.58575,                 1.5112,                0.80033,                 1.8362,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.4242,                0.98106,                 1.5427,                0.74834,                0.95455,                0.88377,                0.52301,                 1.5151,                0.92169,                 1.8311,             0.00062729,             0.00062729,             0.00062729
